w_geocode,h_geocode,count
39049008400,39049007811,16
39049006931,39049005500,7
39049001121,39049006500,194
39049002600,39049001600,1
39049007533,39049001000,2
39049009220,39049002300,1
39097040400,39049007531,10
39049000420,39049006310,1
39049010300,39049002900,4
39049008730,39049008350,17
39049005610,39049008340,2
39049007512,39049008822,1
39049009000,39049006321,5
39049006100,39049005300,2
39049000120,39049007931,9
39049009325,39049000120,2
39049009230,39049005420,4
39049006100,39049007427,2
39049002300,39049004200,5
39049004610,39049000710,1
39049007730,39045033000,1
39049004500,39049006000,1
39049007710,39049002780,1
39049006384,39049006353,4
39049000420,39049009373,2
39049008730,39049008230,2
39049006351,39049007740,3
39049007922,39049009326,2
39049000720,39049009420,3
39049007041,39049001700,2
39049007114,39049009337,16
39049008822,39049010601,8
39049007043,39049008822,7
39049002900,39049003800,1
39049006821,39049001810,1
39049007112,39049009520,2
39049009381,39049010300,3
39049008312,39049006351,1
39049005300,39049001121,3
39049006353,39049009410,1
39049008312,39049009590,1
39049001400,39041011421,3
39049001121,39049005410,7
39049000120,39049005620,7
39049009420,39049004500,1
39049007721,39049009312,4
39049002780,39049005200,8
39049980000,39049007531,17
39049006600,39049008322,1
39049007427,39049007534,12
39049006330,39049006386,7
39049007427,39049008242,10
39049010100,39049004200,3
39049008812,39049008811,11
39041011421,39049009337,1
39049009220,39049008164,1
39049007722,39049006386,1
39049006384,39049008164,1
39049001400,39049000600,2
39049007424,39049010601,1
39049002200,39049006430,4
39045032701,39049008380,4
39049008730,39049007730,3
39049006330,39049007112,6
39049009752,39049008720,6
39049009312,39049007534,1
39049006387,39049007112,2
39049008813,39049002300,1
39049000600,39049008120,1
39049009325,39049001200,4
39049009000,39049007531,1
39049008350,39049007531,1
39049005900,39049000810,1
39049008120,39049009350,2
39049002300,39049001400,1
39049009321,39097040400,1
39049001500,39049006931,1
39049007048,39049002800,5
39049008500,39049007811,28
39049008330,39049002760,1
39049008730,39049006921,2
39049007812,39049007922,61
39049006330,39049006392,2
39049007820,39049004500,4
39049010000,39049006933,4
39049010700,39049010601,4
39049009900,39049009311,10
39049007922,39049006391,8
39049006353,39097040500,3
39049007199,39049009590,2
39049008380,39049008811,6
39049007830,39049007048,5
39097040102,39049006921,2
39049006950,39049006393,2
39049003800,39049003800,20
39049008380,39049008322,9
39049980000,39045032701,24
39049006372,39049006931,8
39049009325,39049000410,1
39049007048,39049008120,2
39049007941,39049009230,8
39049007550,39049000330,14
39049002780,39049006932,10
39049008210,39049003800,10
39049007721,39049002780,5
39049001121,39049009340,38
39049009311,39049000820,2
39049006384,39049006931,5
39049008210,39049006821,16
39049006395,39049009322,1
39049001000,39041011520,1
39049002710,39049008164,1
39097040500,39049008825,3
39049007721,39049005900,2
39049002520,39049000910,4
39049005200,39049009250,6
39049007115,39049008350,7
39049007710,39049000920,8
39049009390,39049009520,1
39049006600,39049001000,1
39049010300,39049008821,6
39049009390,39049007520,1
39049007811,39049008360,3
39045033000,39049001200,1
39049002730,39049009000,2
39049007205,39049007730,1
39049007511,39049006384,2
39049008380,39049007205,3
39049000910,39097041100,1
39049000120,39049006321,2
39049007922,39049001121,1
39049001110,39049002710,1
39049006310,39049000410,3
39049005620,39049009334,1
39049009495,39049006372,20
39049009900,39049006944,39
39049007941,39049001810,2
39049001110,39049009323,3
39049001810,39049006387,1
39049002520,39049009590,2
